region,mm,average.tdiff
England,Jan,5.492469879518072
England,Feb,5.942042042042042
England,Mar,7.191164658634539
England,Apr,8.305416248746239
England,May,8.845685279187817
England,Jun,8.972967479674796
England,Jul,8.9030549898167
England,Aug,8.754730417090538
England,Sep,8.203140830800406
England,Oct,7.006262626262626
England,Nov,6.023910840932118
England,Dec,5.527885597548519
Northern Island,Jan,5.264039408866995
Northern Island,Feb,5.8376237623762375
Northern Island,Mar,6.868599033816425
Northern Island,Apr,7.982926829268293
Northern Island,May,8.522660098522168
Northern Island,Jun,8.373399014778325
Northern Island,Jul,7.833333333333333
Northern Island,Aug,7.658252427184466
Northern Island,Sep,7.229611650485437
Northern Island,Oct,6.385365853658537
Northern Island,Nov,5.754901960784314
Northern Island,Dec,5.224757281553398
Scotland,Jan,4.996446700507614
Scotland,Feb,5.36986531986532
Scotland,Mar,6.042114093959731
Scotland,Apr,6.8806722689075634
Scotland,May,7.254329371816638
Scotland,Jun,7.035363790186125
Scotland,Jul,6.6686971235194585
Scotland,Aug,6.617398648648649
Scotland,Sep,6.320812182741117
Scotland,Oct,5.77271186440678
Scotland,Nov,5.3776649746192895
Scotland,Dec,5.05177065767285
Wales,Jan,4.867543859649123
Wales,Feb,5.180530973451328
Wales,Mar,5.902654867256637
Wales,Apr,6.741818181818182
Wales,May,7.036036036036036
Wales,Jun,6.866363636363636
Wales,Jul,6.716216216216217
Wales,Aug,6.522222222222222
Wales,Sep,6.322727272727273
Wales,Oct,5.609174311926606
Wales,Nov,5.098198198198198
Wales,Dec,4.84054054054054
