date,occupation,status,count
03/05/2016,Clerical and data entry,new,22.43754185
03/05/2016,Creative and multimedia,new,15.43141194
03/05/2016,Professional services,new,1.98681296
03/05/2016,Sales and marketing support,new,8.66429712
03/05/2016,Software development and technology,new,29.81713285
03/05/2016,Writing and translation,new,12.0702622
04/05/2016,Clerical and data entry,new,23.31891001
04/05/2016,Creative and multimedia,new,21.61592747
04/05/2016,Professional services,new,2.375212486
04/05/2016,Sales and marketing support,new,9.874311029
04/05/2016,Software development and technology,new,37.7345078
04/05/2016,Writing and translation,new,12.05532375
05/05/2016,Clerical and data entry,new,30.42960902
05/05/2016,Creative and multimedia,new,27.96476588
05/05/2016,Professional services,new,3.152011539
05/05/2016,Sales and marketing support,new,11.05444805
05/05/2016,Software development and technology,new,41.27491887
05/05/2016,Writing and translation,new,14.60979756
06/05/2016,Clerical and data entry,new,23.31891001
06/05/2016,Creative and multimedia,new,26.18709112
06/05/2016,Professional services,new,2.644104466
06/05/2016,Sales and marketing support,new,9.963941689
06/05/2016,Software development and technology,new,41.28985731
06/05/2016,Writing and translation,new,14.20645959
07/05/2016,Clerical and data entry,new,25.67918405
07/05/2016,Creative and multimedia,new,22.96038737
07/05/2016,Professional services,new,1.807551641
07/05/2016,Sales and marketing support,new,8.425282028
07/05/2016,Software development and technology,new,38.8698295
07/05/2016,Writing and translation,new,14.25127492
08/05/2016,Clerical and data entry,new,29.51836398
08/05/2016,Creative and multimedia,new,17.35847113
08/05/2016,Professional services,new,1.284706125
08/05/2016,Sales and marketing support,new,6.45340751
08/05/2016,Software development and technology,new,27.50167414
08/05/2016,Writing and translation,new,10.17307989
09/05/2016,Clerical and data entry,new,15.9691959
09/05/2016,Creative and multimedia,new,15.50610416
09/05/2016,Professional services,new,1.389275228
09/05/2016,Sales and marketing support,new,6.752176377
09/05/2016,Software development and technology,new,22.01926544
09/05/2016,Writing and translation,new,8.544789574
10/05/2016,Clerical and data entry,new,23.67743265
10/05/2016,Creative and multimedia,new,25.84350693
