from,to,total.items,weight
0,75,352,1
1,75,4916,12
2,75,2695,6
3,75,12925,32
4,75,2985,7
5,75,814,2
6,75,542,1
7,76,360,1
8,76,4203,11
9,77,2389,6
10,77,2775,7
11,78,8258,20
12,78,980,3
13,78,1960,5
14,78,6851,17
15,78,408,1
16,78,1194,3
17,13,413,1
13,17,17692,43
18,79,826,2
19,79,6808,16
20,80,452,1
21,11,314,1
22,11,586,2
23,22,2540,6
11,22,2367,6
24,22,3152,8
25,81,432,1
26,11,449,1
27,82,3089,8
28,82,322,1
29,50,981,2
30,50,401,1
31,50,306,1
32,50,355,1
33,50,3823,9
34,50,2541,6
35,50,435,1
36,50,697,2
37,50,2243,6
38,50,869,2
39,50,335,1
40,50,866,2
41,50,1010,3
42,50,356,1
43,50,896,2
44,50,511,1
45,50,492,1
46,50,456,1
47,50,445,1
48,50,564,2
49,50,1324,3
50,83,2860,7
51,84,607,2
52,84,480,1
53,84,750,2
54,84,563,2
55,84,1964,6
56,84,554,1
57,84,2419,5
11,84,3351,9
58,84,7369,18
59,84,262,1
0,84,1794,4
61,84,1178,3
62,84,1804,4
63,84,351,1
64,84,3234,8
65,84,2384,6
66,84,825,2
67,84,4158,10
68,84,506,1
70,84,382,1
71,84,325,1
72,84,7596,19
73,72,351,1
74,84,946,3
